snapshot_date,market_key,finn_id,title,url,price_nok,sqm,bedrooms,price_per_sqm,address,postal_code,city,area,address_key
2025-08-28,tromso_no,422695364,Møblert 3-romsleilighet på Kræmer - langtidsleie,https://www.finn.no/realestate/lettings/ad.html?finnkode=422695364,48000,54,2,889,,,,,
2025-08-28,tromso_no,422703930,Moderne 2-roms leilighet til leie – Perfekt for 2 personer.,https://www.finn.no/realestate/lettings/ad.html?finnkode=422703930,16000,45,1,356,,,,,
2025-08-28,tromso_no,422999413,2 STK HELT NYE STUDIOLEILIGHETER FOR LANGTIDSLEIE,https://www.finn.no/realestate/lettings/ad.html?finnkode=422999413,9999,30,,333,,,,,
2025-08-28,tromso_no,423670316,"Ledig rom i jentekollektiv, nært UiT",https://www.finn.no/realestate/lettings/ad.html?finnkode=423670316,14400,12,1,1200,,,,,
2025-08-28,tromso_no,84658067,Sjarmerende leilighet i sentrum; 3 soverom. Langtidsleie.,https://www.finn.no/realestate/lettings/ad.html?finnkode=84658067,21000,80,3,262,,,,,
2025-08-28,tromso_no,222092383,KEY READY APARTMENT FULLT MØBLERT 6-ROMS PENTHOUSE LEILIGHET MED HØY STANDARD,https://www.finn.no/realestate/lettings/ad.html?finnkode=222092383,15000,150,5,100,,,,,
2025-08-28,tromso_no,396648683,FULLT MØBLERTE leiligheter med 2 og 3 sov. Ledig fra NÅ til 01okt.,https://www.finn.no/realestate/lettings/ad.html?finnkode=396648683,21000,85,3,247,,,,,
2025-08-28,tromso_no,398594311,KEY READY APARTMENT FULLT MØBLERT LEILIGHET FOR DØGN OG LANGTIDSLEIE MED UTSIKT,https://www.finn.no/realestate/lettings/ad.html?finnkode=398594311,12000,126,3,95,,,,,
2025-08-28,tromso_no,398641065,KEY READY APARTMENT FULLT MØBLERT 6-ROMS PENTHOUSE LEILIGHET MED HØY STANDARD,https://www.finn.no/realestate/lettings/ad.html?finnkode=398641065,15000,130,4,115,,,,,
2025-08-28,tromso_no,398642947,KEY READY APARTMENT FULLT MØBLERT LEILIGHET FOR DØGN OG LANGTIDSLEIE,https://www.finn.no/realestate/lettings/ad.html?finnkode=398642947,3000,30,,100,,,,,
2025-08-28,tromso_no,401224153,"Korttidsleie leiligheter med 1, 2 og 3 soverom til leie!",https://www.finn.no/realestate/lettings/ad.html?finnkode=401224153,25000,75,2,333,,,,,
2025-08-28,tromso_no,405599681,Korttidsleie leilighet med 2 soverom til leie!,https://www.finn.no/realestate/lettings/ad.html?finnkode=405599681,22500,100,2,225,,,,,
2025-08-28,tromso_no,420426351,3-roms med parkering for langtidsleie,https://www.finn.no/realestate/lettings/ad.html?finnkode=420426351,22000,70,2,314,,,,,
